Fraudolent,SMS test,ID,Date and Time
0,Dont pick up d call when something important is There to tell. Hrishi,7H1ND28,2018-09-05
0,"Fuuuuck I need to stop sleepin, sup",XFK2M5E,2017-03-17
0,Well thats nice. Too bad i cant eat it,WY1MR38,2017-07-09
0,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",067YLTZ,2016-11-14
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",1BIBD5C,2018-03-20
0,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",VVKPEVB,2016-05-19
0,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",H5NAVX0,2018-01-06
0,I think i've fixed it can you send a test message?,9D23CQC,2018-03-13
0,How are you doing. How's the queen. Are you going for the royal wedding,B6H3KTA,2018-07-12
0,Your brother is a genius,USPS0LV,2017-11-15
0,Give me a sec to think think about it,JGPIH51,2018-03-10
0,"How about clothes, jewelry, and trips?",Y47EOP8,2017-03-31
0,Its ok my arm is feeling weak cuz i got a shot so we can go another time,59DDF03,2017-04-24
0,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,CHKKTIC,2018-06-20
1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,BKOZKEG,2016-11-14
0,I'm really sorry I lit your hair on fire,ZLYEYYG,2016-07-08
0,What's your room number again? Wanna make sure I'm knocking on the right door,F0W2JW7,2017-12-25
0,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,TFM81PY,2017-12-18
0,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",HPESRWU,2016-11-04
0,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,V6IH1H2,2018-04-26
0,No..few hours before.went to hair cut .,WPFLOYL,2017-12-18
0,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,B8Q77GA,2017-04-30
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,M12NO3A,2017-06-19
0,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,3NW3FCS,2017-10-05
0,So u workin overtime nigpun?,3NVZSIK,2016-07-09
0,Prakesh is there know.,D3182CL,2017-05-11
0,Can. Dunno wat to get 4 her...,WMPPSSK,2017-02-03
0,So that means you still think of teju,R8CSWGO,2016-04-08
0,Great! I have to run now so ttyl!,A41CHIL,2016-12-09
0,In e msg jus now. U said thanks for gift.,MS4VH2P,2017-07-13
0,I'm not sure if its still available though,ZH1V13U,2016-04-14
0,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,OB0OC33,2018-02-01
0,I dunno until when... Lets go learn pilates...,WN4R6YK,2016-07-01
0,You are right. Meanwhile how's project twins comin up,UZ0INM1,2018-05-04
0,Hi.what you think about match?,1P5K0WB,2017-03-26
0,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",WH5GVRZ,2016-11-12
1,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,DQXIBGT,2016-11-03
1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",ZSF2O6D,2017-11-30
1,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,AYF4DOO,2016-06-03
0,We are okay. Going to sleep now. Later,AFF2HM5,2018-06-24
0,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,Q2TCLX0,2016-07-16
0,I will come to ur home now,61B1EDJ,2017-12-07
0,In sch but neva mind u eat 1st lor..,LISU3Z6,2018-01-07
0,Otherwise had part time job na-tuition..,FCNC8KQ,2016-02-17
0,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,QQTOT5X,2017-01-14
0,Ard 530 lor. I ok then message ü lor.,CCA1PD6,2017-05-09
0,Haha... They cant what... At the most tmr forfeit... haha so how?,R414B5U,2017-05-10
0,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,UGJVAW4,2018-04-02
0,"I'm not sure, I was just checking out what was happening around the area",OPZ09BP,2017-12-31
0,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",Q0A3U7D,2016-09-07
0,"It's that time of the week again, ryan",VFPQN54,2016-02-17
0,Come by our room at some point so we can iron out the plan for this weekend,HMJ0YXH,2017-01-20
0,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,EKZBI7T,2016-03-07
